area_id,time_id,shallow_mrp_estimate,shallow_mrp_variance,shallow_mrp_lower,shallow_mrp_upper,shallow_mrp_ci_width
W02000001,2021,0.024753700683845126,6.715955019554922e-5,0.012363741393771405,0.040624627150182654,0.02826088575641125
W02000002,2021,0.01967333342689637,4.8453132504190886e-5,0.007861259109017879,0.03516813187812742,0.027306872769109543
W02000003,2021,0.0409148929407576,2.9101293249506754e-4,0.01611707453681415,0.08184759593347812,0.06573052139666397
W02000004,2021,0.031398799532045725,1.3800136120622079e-4,0.01564058247371852,0.06350762885531933,0.0478670463816008
W02000005,2021,0.018905719633568047,5.91177627666177e-5,0.007603568194272253,0.03835198789288119,0.030748419698608937
W02000006,2021,0.02601351548180571,6.932844824339502e-5,0.013229532438196256,0.046975740424967584,0.03374620798677133
W02000007,2021,0.03121487248744648,1.0466875152655344e-4,0.015530304055627123,0.05579910297630444,0.04026879892067732
W02000008,2021,0.020141208922942317,6.570510420125724e-5,0.00801538189028049,0.03849024393696247,0.030474862046681983
W02000009,2021,0.023466501283160853,5.594793380176599e-5,0.012054874616078739,0.040766718187034603,0.028711843570955867
W02000010,2021,0.03227798721672748,2.395195409187807e-4,0.010981042008380616,0.06694956480491557,0.055968522796534956
W02000011,2021,0.02516303651567921,7.524551051209901e-5,0.011071684649814183,0.04584124392290038,0.0347695592730862
W02000012,2021,0.023777534366371,6.855708299182012e-5,0.012293308279411365,0.04208959614293409,0.029796287863522723
W02000013,2021,0.024363887088415564,6.635078579621061e-5,0.012125973814919524,0.04289088318031826,0.030764909365398732
W02000014,2021,0.025281883165327423,5.798936092577881e-5,0.01329401255943918,0.04283861971023646,0.02954460715079728
W02000015,2021,0.02313395146267002,8.509119253103907e-5,0.009552316218255488,0.0462431163094739,0.03669080009121841
W02000016,2021,0.022896471916952297,6.524882216773698e-5,0.010183142153292652,0.040139057530570614,0.029955915377277962
W02000017,2021,0.023912491041599315,8.549346258078686e-5,0.010930177495887355,0.043579630104189714,0.03264945260830236
W02000018,2021,0.02380573635318806,5.6488739118496135e-5,0.013341758685781857,0.0430177257568754,0.029675967071093545
W02000019,2021,0.02100728470939935,4.2085326369387246e-5,0.010649334383449493,0.03685827701995391,0.026208942636504418
W02000020,2021,0.023671600840313275,6.708055675878808e-5,0.010955734458808711,0.04017854663338742,0.02922281217457871
W02000021,2021,0.02409965046336557,1.2920595067195207e-4,0.007664395008942898,0.04847032422645456,0.04080592921751166
W02000022,2021,0.02099821026464163,4.98345093944881e-5,0.010108646378927343,0.03631025762995703,0.026201611251029686
W02000023,2021,0.020351526276310636,1.193386469386662e-4,0.00650619872849469,0.04556612213477915,0.039059923406284454
W02000024,2021,0.026357047602821138,4.632738985399248e-5,0.015287206903473936,0.04128709045142988,0.025999883547955942
W02000025,2021,0.02371205944091449,7.089812569945774e-5,0.01157528809310221,0.04116111038974218,0.029585822296639967
W02000026,2021,0.02387992937924988,6.288916526140569e-5,0.012330161979415982,0.041204823003157774,0.028874661023741793
W02000027,2021,0.018815669085756333,1.0841197602346356e-4,0.004373954478098437,0.044343241705958325,0.03996928722785989
W02000028,2021,0.01833436466753635,5.693532834310453e-5,0.006386135631018676,0.034264536200713194,0.02787840056969452
W02000029,2021,0.018783796282123393,5.2351776637602543e-5,0.007729158014626366,0.03364547413603136,0.025916316121404995
W02000030,2021,0.018541545774313533,4.782098316733168e-5,0.008050200167168195,0.034379135776565664,0.026328935609397468
W02000031,2021,0.021450698353233023,6.751495806142809e-5,0.009369847223825101,0.041229976428591664,0.031860129204766566
W02000032,2021,0.018565624425394736,5.0050079718261706e-5,0.006403777665681527,0.03374600903162601,0.02734223136594448
W02000033,2021,0.023286770738625128,7.386801184081353e-5,0.010263031277753739,0.04337989753868332,0.03311686626092958
W02000034,2021,0.02480205198588065,6.540594278332548e-5,0.012269611790217624,0.044727156321250156,0.03245754453103253
W02000035,2021,0.02317439137563619,5.2170056877229337e-5,0.011472811690099116,0.0389430423742608,0.027470230684161684
W02000036,2021,0.02089406614641275,4.309781554018725e-5,0.009900563754669599,0.034182038456313346,0.024281474701643747
W02000037,2021,0.02169173984282341,4.7368727108396026e-5,0.011211276129935013,0.036774457939438676,0.025563181809503663
W02000038,2021,0.020948476247072113,5.543568398574949e-5,0.009553215565952226,0.03733500583924987,0.027781790273297642
W02000039,2021,0.020985437725494546,6.925407668032722e-5,0.009037177349804913,0.03959357297020231,0.030556395620397393
W02000040,2021,0.023297079733584167,4.304530990395539e-5,0.011446296116188654,0.03729132092471789,0.025845024808529234
W02000041,2021,0.023168947235205562,4.843004096212596e-5,0.012128738147457366,0.03929944741622318,0.027170709268765816
W02000042,2021,0.024042913508639328,9.010450156789388e-5,0.010045268080955173,0.04558830754333375,0.03554303946237858
W02000043,2021,0.028933371707844612,1.1586293587603485e-4,0.013897494771043347,0.05522436788693416,0.04132687311589081
W02000044,2021,0.026716845276492242,9.491433906317835e-5,0.012075574581510196,0.05058440871256408,0.03850883413105388
W02000045,2021,0.024023592235247995,9.070877561935142e-5,0.009727903014792866,0.04695628737011444,0.037228384355321574
W02000047,2021,0.025237398187961415,1.4573653986642125e-4,0.009551120708915672,0.05199574277821696,0.04244462206930129
W02000049,2021,0.028006852824898024,7.635599315980148e-5,0.015557228105820097,0.04819804558717579,0.032640817481355694
W02000050,2021,0.02279135364963915,5.6141277742892883e-5,0.01055127709228582,0.03964951952584547,0.029098242433559653
W02000051,2021,0.024160503867969627,5.828784059780871e-5,0.012586063977069012,0.04174758055776834,0.029161516580699327
W02000052,2021,0.02714081563924738,8.096331406441043e-5,0.012725749360246643,0.04849219790453249,0.035766448544285845
W02000053,2021,0.026297358773029942,5.722585127664535e-5,0.014392714134725707,0.0432773397207698,0.028884625586044096
W02000054,2021,0.026317168389805447,4.740963720664158e-5,0.015368503853361096,0.04284555599416257,0.027477052140801476
W02000055,2021,0.03227222057123426,1.3306089243634716e-4,0.01539316606046724,0.06199959311359021,0.04660642705312297
W02000056,2021,0.02684083178624843,5.905216519370215e-5,0.014637676631148401,0.045478211182328004,0.030840534551179605
W02000057,2021,0.02536093402341296,5.742315335657564e-5,0.013908531790919396,0.043086901248934384,0.02917836945801499
W02000058,2021,0.026314382028790547,8.018447539052588e-5,0.013620592425235105,0.04356352859029865,0.029942936165063543
W02000059,2021,0.02651182024109858,6.077528048662201e-5,0.014068437839825023,0.044129291714861754,0.03006085387503673
W02000060,2021,0.026036997854622768,8.774433158857293e-5,0.012129935454998277,0.04568419314878224,0.033554257693783965
W02000061,2021,0.02973522769457716,1.5376407167496336e-4,0.01249428480167233,0.05841991051973852,0.04592562571806619
W02000062,2021,0.025346598268453695,6.500539970326409e-5,0.012911880532712715,0.04264846077243507,0.02973658023972236
W02000063,2021,0.023007646384412352,4.621417635163028e-5,0.01317244568293221,0.04004482947654407,0.026872383793611863
W02000064,2021,0.02741396930006781,1.3072981326200597e-4,0.01064323666080012,0.051676081974880723,0.04103284531408061
W02000065,2021,0.028090260069442128,9.4083824452391e-5,0.01279649909808439,0.050444839907769934,0.03764834080968554
W02000066,2021,0.026637645175659447,9.549661683479928e-5,0.012229389356843794,0.047518060898604574,0.03528867154176078
W02000067,2021,0.025879163768750994,8.792674215927366e-5,0.012224035569409354,0.046525695543515544,0.03430165997410619
