area_id,iid_effect_pp
W02000001,-0.03452283786154155
W02000002,-0.02165345832385676
W02000003,0.0129883719129099
W02000004,0.02921397059031626
W02000005,-0.056780100928653
W02000006,-0.20299159204811523
W02000007,0.11309812317287002
W02000008,-0.03109743916685028
W02000009,0.02660814677930694
W02000010,-0.04692960950946872
W02000011,-0.041698365795879135
W02000012,-0.03868672530251012
W02000013,0.014860213141432134
W02000014,0.0385012603136165
W02000015,-0.02492514361105519
W02000016,-0.10043608727338504
W02000017,-0.012667691507056976
W02000018,-0.4748248524861957
W02000019,0.0018635487834675521
W02000020,0.08213630336835387
W02000021,0.08081805547759732
W02000022,-0.03943469998210062
W02000023,0.01393427052317243
W02000024,0.10755466217819436
W02000025,-0.004437939216474513
W02000026,0.03464547514206421
W02000027,-0.0021441724609471483
W02000028,0.03845587153921152
W02000029,-0.009468400626878513
W02000030,-0.01050131299403147
W02000031,-0.028042320602942417
W02000032,-0.018788012307207305
W02000033,0.06019533633403874
W02000034,-0.008850479673509264
W02000035,4.4307732069623975e-4
W02000036,-0.0680137597555448
W02000037,0.026139945478662215
W02000038,-0.027282017240572966
W02000039,0.02953974691694218
W02000040,-0.019936100232066264
W02000041,-0.05066086398283965
W02000042,-0.3210871156836894
W02000043,-0.03988000130421072
W02000044,0.07435648646591005
W02000045,-0.06037568465802136
W02000047,0.01688660746567956
W02000049,0.0409314530742499
W02000050,0.03985387403946337
W02000051,-0.1563681100186189
W02000052,-0.005124751166785682
W02000053,0.014469987863111464
W02000054,0.07548085019506384
W02000055,0.03166099337284649
W02000056,0.036239140702106015
W02000057,0.04550171636095618
W02000058,0.09517251609119982
W02000059,0.044091911533428604
W02000060,-0.04008089356889449
W02000061,0.02199856382671075
W02000062,-0.20377435798515914
W02000063,0.020816121295665173
W02000064,-0.004818203380207776
W02000065,0.009413638983278426
W02000066,-0.05158528385050928
W02000067,-0.01827459940247167
W02000068,0.08129815488939765
W02000069,-0.03443992544815926
W02000070,0.018742552189342128
W02000071,-0.14564819791827152
W02000072,0.03857114192617228
W02000073,0.003341330180280195
W02000074,-0.014583111961066287
W02000075,-0.00202260940297669
W02000076,0.03142279447855412
W02000077,0.02085740589660476
W02000080,0.08353405684284229
W02000081,0.04024978960891656
W02000082,-0.007392184254363226
W02000083,0.013802337398418043
W02000085,-0.027958243864149662
W02000087,0.08550177145587962
W02000088,-0.014825897241580387
W02000089,-0.012626736716386146
W02000090,-0.016360754485816337
W02000091,0.04653907862924631
W02000092,-0.011227499205440016
W02000093,0.027076519073134468
W02000094,0.02806876935827209
W02000095,0.018708584722638075
W02000096,0.020388833053030565
W02000097,0.08690682014559709
W02000098,0.027373537134133957
W02000099,-0.008882391436771367
W02000100,0.14748070367494004
W02000101,0.08832205634086437
W02000102,0.04644193639387857
W02000103,0.04288594136886222
W02000104,-0.00774811558402045
W02000105,0.07084491727504956
W02000106,0.058870201877817926
W02000107,0.14763571599684508
W02000108,0.00428118312847756
W02000109,0.18656058004398618
W02000110,-0.046907971922654175
W02000111,0.016702100928541134
W02000113,0.14395937951834956
W02000114,0.010898196524770924
W02000116,-0.014798292534756362
W02000117,-0.24341691400318397
W02000118,-0.17993672208438458
W02000120,0.0602398702333222
W02000122,0.13384324441462114
W02000123,0.01469926370093193
W02000124,-0.025134067086929498
W02000125,-0.39867680041618897
W02000126,0.02087882155665145
W02000127,0.07972797409290575
W02000128,-0.02798589606502617
W02000129,0.01739724881357723
W02000130,0.06206280207443468
W02000131,0.0017300440679689215
W02000132,-0.017697324442851017
W02000133,0.04971739655102285
W02000134,-0.006172123695636794
W02000135,0.02592224080722772
W02000136,-0.0023580527500467975
W02000137,0.012600199807422796
W02000138,0.04641847531838808
W02000139,0.05187074324348854
W02000140,0.05320101327228335
W02000141,-0.07586601895502731
W02000142,0.03848125279232339
W02000143,-0.049579608504129555
W02000144,-0.02537112453564737
W02000145,-0.001655391871544993
W02000146,0.007746413485761841
W02000147,-0.04292643439042855
W02000148,0.0346129626408413
W02000149,-0.022480991296810342
W02000151,-0.02478112476128165
W02000152,0.006821986279010142
W02000153,-0.0209865985974569
W02000154,-0.08962495174780584
W02000156,0.018561100897194174
W02000157,-0.026315125930210608
W02000158,-0.038329971854179516
W02000159,0.0026916456414016856
W02000160,-5.278945425282442e-5
W02000161,-0.0023868083841554555
W02000162,-0.06840385799704504
W02000163,-0.012513121781688685
W02000164,0.0028190760289267826
W02000165,0.08418837407037676
W02000166,0.008020056922339881
W02000167,-0.004804870070305499
W02000168,-0.09187466256199257
W02000169,0.10753863535678931
W02000170,-0.06745689442192913
W02000171,-0.010026053592845467
W02000172,-0.021515351484956025
W02000173,0.04109370197271652
W02000174,0.017171118413645426
W02000175,0.0024399049758255208
W02000176,-0.05278120119489218
W02000177,-0.008184622338629537
W02000178,-0.013868444269951704
W02000179,0.019821443313236303
W02000180,-0.06984167066217702
W02000181,-0.0307720345052165
