area_id,time_id,source_population_year,msoa_name,la_code,la_name,age_band,sex,car_access,pop_count
W02000001,2021,2021,Isle of Anglesey 001,W06000001,Isle of Anglesey,16_24,1,0,42
W02000001,2021,2021,Isle of Anglesey 001,W06000001,Isle of Anglesey,16_24,1,1,314
W02000001,2021,2021,Isle of Anglesey 001,W06000001,Isle of Anglesey,25_34,1,0,31
W02000001,2021,2021,Isle of Anglesey 001,W06000001,Isle of Anglesey,25_34,1,1,373
W02000001,2021,2021,Isle of Anglesey 001,W06000001,Isle of Anglesey,35_49,1,0,42
W02000001,2021,2021,Isle of Anglesey 001,W06000001,Isle of Anglesey,35_49,1,1,563
W02000001,2021,2021,Isle of Anglesey 001,W06000001,Isle of Anglesey,50_64,1,0,76
W02000001,2021,2021,Isle of Anglesey 001,W06000001,Isle of Anglesey,50_64,1,1,940
W02000001,2021,2021,Isle of Anglesey 001,W06000001,Isle of Anglesey,65_plus,1,0,84
W02000001,2021,2021,Isle of Anglesey 001,W06000001,Isle of Anglesey,65_plus,1,1,996
W02000001,2021,2021,Isle of Anglesey 001,W06000001,Isle of Anglesey,16_24,2,0,42
W02000001,2021,2021,Isle of Anglesey 001,W06000001,Isle of Anglesey,16_24,2,1,317
W02000001,2021,2021,Isle of Anglesey 001,W06000001,Isle of Anglesey,25_34,2,0,48
W02000001,2021,2021,Isle of Anglesey 001,W06000001,Isle of Anglesey,25_34,2,1,362
W02000001,2021,2021,Isle of Anglesey 001,W06000001,Isle of Anglesey,35_49,2,0,48
W02000001,2021,2021,Isle of Anglesey 001,W06000001,Isle of Anglesey,35_49,2,1,572
W02000001,2021,2021,Isle of Anglesey 001,W06000001,Isle of Anglesey,50_64,2,0,72
W02000001,2021,2021,Isle of Anglesey 001,W06000001,Isle of Anglesey,50_64,2,1,963
W02000001,2021,2021,Isle of Anglesey 001,W06000001,Isle of Anglesey,65_plus,2,0,186
W02000001,2021,2021,Isle of Anglesey 001,W06000001,Isle of Anglesey,65_plus,2,1,939
W02000001,2023,2021,Isle of Anglesey 001,W06000001,Isle of Anglesey,16_24,1,0,42
W02000001,2023,2021,Isle of Anglesey 001,W06000001,Isle of Anglesey,16_24,1,1,314
W02000001,2023,2021,Isle of Anglesey 001,W06000001,Isle of Anglesey,25_34,1,0,31
W02000001,2023,2021,Isle of Anglesey 001,W06000001,Isle of Anglesey,25_34,1,1,373
W02000001,2023,2021,Isle of Anglesey 001,W06000001,Isle of Anglesey,35_49,1,0,42
W02000001,2023,2021,Isle of Anglesey 001,W06000001,Isle of Anglesey,35_49,1,1,563
W02000001,2023,2021,Isle of Anglesey 001,W06000001,Isle of Anglesey,50_64,1,0,76
W02000001,2023,2021,Isle of Anglesey 001,W06000001,Isle of Anglesey,50_64,1,1,940
W02000001,2023,2021,Isle of Anglesey 001,W06000001,Isle of Anglesey,65_plus,1,0,84
W02000001,2023,2021,Isle of Anglesey 001,W06000001,Isle of Anglesey,65_plus,1,1,996
W02000001,2023,2021,Isle of Anglesey 001,W06000001,Isle of Anglesey,16_24,2,0,42
W02000001,2023,2021,Isle of Anglesey 001,W06000001,Isle of Anglesey,16_24,2,1,317
W02000001,2023,2021,Isle of Anglesey 001,W06000001,Isle of Anglesey,25_34,2,0,48
W02000001,2023,2021,Isle of Anglesey 001,W06000001,Isle of Anglesey,25_34,2,1,362
W02000001,2023,2021,Isle of Anglesey 001,W06000001,Isle of Anglesey,35_49,2,0,48
W02000001,2023,2021,Isle of Anglesey 001,W06000001,Isle of Anglesey,35_49,2,1,572
W02000001,2023,2021,Isle of Anglesey 001,W06000001,Isle of Anglesey,50_64,2,0,72
W02000001,2023,2021,Isle of Anglesey 001,W06000001,Isle of Anglesey,50_64,2,1,963
W02000001,2023,2021,Isle of Anglesey 001,W06000001,Isle of Anglesey,65_plus,2,0,186
W02000001,2023,2021,Isle of Anglesey 001,W06000001,Isle of Anglesey,65_plus,2,1,939
W02000001,2025,2021,Isle of Anglesey 001,W06000001,Isle of Anglesey,16_24,1,0,42
W02000001,2025,2021,Isle of Anglesey 001,W06000001,Isle of Anglesey,16_24,1,1,314
W02000001,2025,2021,Isle of Anglesey 001,W06000001,Isle of Anglesey,25_34,1,0,31
W02000001,2025,2021,Isle of Anglesey 001,W06000001,Isle of Anglesey,25_34,1,1,373
W02000001,2025,2021,Isle of Anglesey 001,W06000001,Isle of Anglesey,35_49,1,0,42
W02000001,2025,2021,Isle of Anglesey 001,W06000001,Isle of Anglesey,35_49,1,1,563
W02000001,2025,2021,Isle of Anglesey 001,W06000001,Isle of Anglesey,50_64,1,0,76
W02000001,2025,2021,Isle of Anglesey 001,W06000001,Isle of Anglesey,50_64,1,1,940
W02000001,2025,2021,Isle of Anglesey 001,W06000001,Isle of Anglesey,65_plus,1,0,84
W02000001,2025,2021,Isle of Anglesey 001,W06000001,Isle of Anglesey,65_plus,1,1,996
W02000001,2025,2021,Isle of Anglesey 001,W06000001,Isle of Anglesey,16_24,2,0,42
W02000001,2025,2021,Isle of Anglesey 001,W06000001,Isle of Anglesey,16_24,2,1,317
W02000001,2025,2021,Isle of Anglesey 001,W06000001,Isle of Anglesey,25_34,2,0,48
W02000001,2025,2021,Isle of Anglesey 001,W06000001,Isle of Anglesey,25_34,2,1,362
W02000001,2025,2021,Isle of Anglesey 001,W06000001,Isle of Anglesey,35_49,2,0,48
W02000001,2025,2021,Isle of Anglesey 001,W06000001,Isle of Anglesey,35_49,2,1,572
W02000001,2025,2021,Isle of Anglesey 001,W06000001,Isle of Anglesey,50_64,2,0,72
W02000001,2025,2021,Isle of Anglesey 001,W06000001,Isle of Anglesey,50_64,2,1,963
W02000001,2025,2021,Isle of Anglesey 001,W06000001,Isle of Anglesey,65_plus,2,0,186
W02000001,2025,2021,Isle of Anglesey 001,W06000001,Isle of Anglesey,65_plus,2,1,939
W02000002,2021,2021,Isle of Anglesey 002,W06000001,Isle of Anglesey,16_24,1,0,8
W02000002,2021,2021,Isle of Anglesey 002,W06000001,Isle of Anglesey,16_24,1,1,206
W02000002,2021,2021,Isle of Anglesey 002,W06000001,Isle of Anglesey,25_34,1,0,12
W02000002,2021,2021,Isle of Anglesey 002,W06000001,Isle of Anglesey,25_34,1,1,227
W02000002,2021,2021,Isle of Anglesey 002,W06000001,Isle of Anglesey,35_49,1,0,18
W02000002,2021,2021,Isle of Anglesey 002,W06000001,Isle of Anglesey,35_49,1,1,410
W02000002,2021,2021,Isle of Anglesey 002,W06000001,Isle of Anglesey,50_64,1,0,34
W02000002,2021,2021,Isle of Anglesey 002,W06000001,Isle of Anglesey,50_64,1,1,721
W02000002,2021,2021,Isle of Anglesey 002,W06000001,Isle of Anglesey,65_plus,1,0,70
W02000002,2021,2021,Isle of Anglesey 002,W06000001,Isle of Anglesey,65_plus,1,1,951
W02000002,2021,2021,Isle of Anglesey 002,W06000001,Isle of Anglesey,16_24,2,0,11
W02000002,2021,2021,Isle of Anglesey 002,W06000001,Isle of Anglesey,16_24,2,1,181
W02000002,2021,2021,Isle of Anglesey 002,W06000001,Isle of Anglesey,25_34,2,0,14
W02000002,2021,2021,Isle of Anglesey 002,W06000001,Isle of Anglesey,25_34,2,1,265
W02000002,2021,2021,Isle of Anglesey 002,W06000001,Isle of Anglesey,35_49,2,0,22
W02000002,2021,2021,Isle of Anglesey 002,W06000001,Isle of Anglesey,35_49,2,1,404
W02000002,2021,2021,Isle of Anglesey 002,W06000001,Isle of Anglesey,50_64,2,0,35
W02000002,2021,2021,Isle of Anglesey 002,W06000001,Isle of Anglesey,50_64,2,1,761
W02000002,2021,2021,Isle of Anglesey 002,W06000001,Isle of Anglesey,65_plus,2,0,145
W02000002,2021,2021,Isle of Anglesey 002,W06000001,Isle of Anglesey,65_plus,2,1,952
W02000002,2023,2021,Isle of Anglesey 002,W06000001,Isle of Anglesey,16_24,1,0,8
W02000002,2023,2021,Isle of Anglesey 002,W06000001,Isle of Anglesey,16_24,1,1,206
W02000002,2023,2021,Isle of Anglesey 002,W06000001,Isle of Anglesey,25_34,1,0,12
W02000002,2023,2021,Isle of Anglesey 002,W06000001,Isle of Anglesey,25_34,1,1,227
W02000002,2023,2021,Isle of Anglesey 002,W06000001,Isle of Anglesey,35_49,1,0,18
W02000002,2023,2021,Isle of Anglesey 002,W06000001,Isle of Anglesey,35_49,1,1,410
W02000002,2023,2021,Isle of Anglesey 002,W06000001,Isle of Anglesey,50_64,1,0,34
W02000002,2023,2021,Isle of Anglesey 002,W06000001,Isle of Anglesey,50_64,1,1,721
W02000002,2023,2021,Isle of Anglesey 002,W06000001,Isle of Anglesey,65_plus,1,0,70
W02000002,2023,2021,Isle of Anglesey 002,W06000001,Isle of Anglesey,65_plus,1,1,951
W02000002,2023,2021,Isle of Anglesey 002,W06000001,Isle of Anglesey,16_24,2,0,11
W02000002,2023,2021,Isle of Anglesey 002,W06000001,Isle of Anglesey,16_24,2,1,181
W02000002,2023,2021,Isle of Anglesey 002,W06000001,Isle of Anglesey,25_34,2,0,14
W02000002,2023,2021,Isle of Anglesey 002,W06000001,Isle of Anglesey,25_34,2,1,265
W02000002,2023,2021,Isle of Anglesey 002,W06000001,Isle of Anglesey,35_49,2,0,22
W02000002,2023,2021,Isle of Anglesey 002,W06000001,Isle of Anglesey,35_49,2,1,404
W02000002,2023,2021,Isle of Anglesey 002,W06000001,Isle of Anglesey,50_64,2,0,35
W02000002,2023,2021,Isle of Anglesey 002,W06000001,Isle of Anglesey,50_64,2,1,761
W02000002,2023,2021,Isle of Anglesey 002,W06000001,Isle of Anglesey,65_plus,2,0,145
W02000002,2023,2021,Isle of Anglesey 002,W06000001,Isle of Anglesey,65_plus,2,1,952
W02000002,2025,2021,Isle of Anglesey 002,W06000001,Isle of Anglesey,16_24,1,0,8
W02000002,2025,2021,Isle of Anglesey 002,W06000001,Isle of Anglesey,16_24,1,1,206
W02000002,2025,2021,Isle of Anglesey 002,W06000001,Isle of Anglesey,25_34,1,0,12
W02000002,2025,2021,Isle of Anglesey 002,W06000001,Isle of Anglesey,25_34,1,1,227
W02000002,2025,2021,Isle of Anglesey 002,W06000001,Isle of Anglesey,35_49,1,0,18
W02000002,2025,2021,Isle of Anglesey 002,W06000001,Isle of Anglesey,35_49,1,1,410
W02000002,2025,2021,Isle of Anglesey 002,W06000001,Isle of Anglesey,50_64,1,0,34
W02000002,2025,2021,Isle of Anglesey 002,W06000001,Isle of Anglesey,50_64,1,1,721
W02000002,2025,2021,Isle of Anglesey 002,W06000001,Isle of Anglesey,65_plus,1,0,70
W02000002,2025,2021,Isle of Anglesey 002,W06000001,Isle of Anglesey,65_plus,1,1,951
W02000002,2025,2021,Isle of Anglesey 002,W06000001,Isle of Anglesey,16_24,2,0,11
W02000002,2025,2021,Isle of Anglesey 002,W06000001,Isle of Anglesey,16_24,2,1,181
W02000002,2025,2021,Isle of Anglesey 002,W06000001,Isle of Anglesey,25_34,2,0,14
W02000002,2025,2021,Isle of Anglesey 002,W06000001,Isle of Anglesey,25_34,2,1,265
W02000002,2025,2021,Isle of Anglesey 002,W06000001,Isle of Anglesey,35_49,2,0,22
W02000002,2025,2021,Isle of Anglesey 002,W06000001,Isle of Anglesey,35_49,2,1,404
W02000002,2025,2021,Isle of Anglesey 002,W06000001,Isle of Anglesey,50_64,2,0,35
W02000002,2025,2021,Isle of Anglesey 002,W06000001,Isle of Anglesey,50_64,2,1,761
W02000002,2025,2021,Isle of Anglesey 002,W06000001,Isle of Anglesey,65_plus,2,0,145
W02000002,2025,2021,Isle of Anglesey 002,W06000001,Isle of Anglesey,65_plus,2,1,952
W02000003,2021,2021,Isle of Anglesey 003,W06000001,Isle of Anglesey,16_24,1,0,138
W02000003,2021,2021,Isle of Anglesey 003,W06000001,Isle of Anglesey,16_24,1,1,384
W02000003,2021,2021,Isle of Anglesey 003,W06000001,Isle of Anglesey,25_34,1,0,128
W02000003,2021,2021,Isle of Anglesey 003,W06000001,Isle of Anglesey,25_34,1,1,506
W02000003,2021,2021,Isle of Anglesey 003,W06000001,Isle of Anglesey,35_49,1,0,194
W02000003,2021,2021,Isle of Anglesey 003,W06000001,Isle of Anglesey,35_49,1,1,743
W02000003,2021,2021,Isle of Anglesey 003,W06000001,Isle of Anglesey,50_64,1,0,202
W02000003,2021,2021,Isle of Anglesey 003,W06000001,Isle of Anglesey,50_64,1,1,782
