area_id,time_id,bhf_estimate,bhf_variance,bhf_lower,bhf_upper,bhf_ci_width
W02000001,2021,0.021055837026145854,9.102672766387007e-5,0.0015489218896850882,0.03892217406140158,0.03737325217171649
W02000002,2021,0.015592084481082888,9.148732312290361e-5,-0.0031002781707538166,0.03295937726823508,0.0360596554389889
W02000003,2021,0.04170293662954888,2.3831792049975329e-4,0.014123801053058709,0.07571946822790604,0.06159566717484733
W02000004,2021,0.02786165631321097,1.296271917860773e-4,0.007261954602236633,0.05142366834855126,0.044161713746314626
W02000005,2021,0.012520092930439217,1.0964242843552124e-4,-0.01003033465521852,0.03122999590717717,0.04126033056239569
W02000006,2021,0.022957116407173957,8.852812762748234e-5,0.004726347421989047,0.04001419813912324,0.035287850717134195
W02000007,2021,0.02692372307579205,9.501727282333259e-5,0.007611658311830215,0.0480156615195835,0.04040400320775329
W02000008,2021,0.014378317144409037,1.5539789639379547e-4,-0.012133896622824224,0.03767000782576728,0.04980390444859151
W02000009,2021,0.01887412560450402,9.391921733533362e-5,-0.002189667171343896,0.03796911081791736,0.040158777989261256
W02000010,2021,0.034998428845552744,2.118363568402025e-4,0.007438910768617656,0.06035927361657056,0.05292036284795291
W02000011,2021,0.02451522136916104,1.1658919060481162e-4,0.005024663589955301,0.0448702163801322,0.0398455527901769
W02000012,2021,0.022164883898123166,9.488418924492855e-5,0.004553453399595171,0.04030670770459385,0.035753254304998684
W02000013,2021,0.022394400076417072,1.2136951492755869e-4,1.994779641491689e-4,0.04329475629270854,0.043095278328559375
W02000014,2021,0.023553728080544144,7.214669040663633e-5,0.0057239661603728275,0.03940533823929393,0.0336813720789211
W02000015,2021,0.02323500584181137,1.5100078994851688e-4,-0.0011326267846241149,0.045881392880880556,0.04701401966550467
W02000016,2021,0.019979416113733953,9.611393715574044e-5,0.0012278509442629397,0.03922087949156661,0.037993028547303666
W02000017,2021,0.020645236847424944,1.2275624699921493e-4,-0.0029706475416713465,0.04619716059203323,0.049167808133704576
W02000018,2021,0.022666936689476242,8.112119623315966e-5,0.006281877131354476,0.040267354801800395,0.03398547767044592
W02000019,2021,0.01672395541095905,7.827776725668575e-5,-0.0016607326283824872,0.033443587167156355,0.035104319795538845
W02000020,2021,0.01944703707327422,1.0000904946798098e-4,0.001020409667952926,0.04106576224894795,0.04004535258099502
W02000021,2021,0.020114750357512378,1.632170626742075e-4,-0.0036261729196198846,0.04376591276076756,0.04739208568038744
W02000022,2021,0.015986457164752724,1.0871089360073119e-4,-0.0047570336716117895,0.03562878132717017,0.04038581499878196
W02000023,2021,0.014496672885032426,2.3238550723659368e-4,-0.015953916401608287,0.042808663509191866,0.05876257991080015
W02000024,2021,0.025096967051925146,5.7041031861185414e-5,0.011358524865350578,0.03992855358310497,0.028570028717754395
W02000025,2021,0.022041831864408456,7.998517336601904e-5,0.0053767251887615565,0.03864016074517716,0.03326343555641561
W02000026,2021,0.022257448691172955,9.304835398879927e-5,0.004434418858829619,0.04175333842384753,0.037318919565017906
W02000027,2021,0.013842655376353232,2.579848590113127e-4,-0.017700443623863416,0.04396608036862764,0.061666523992491055
W02000028,2021,0.012710162912936215,1.571746511453374e-4,-0.011151847371465372,0.03546289056795911,0.04661473793942448
W02000029,2021,0.00961353342451117,1.2626795098747226e-4,-0.012658766015987574,0.031742039405459395,0.04440080542144697
W02000030,2021,0.011140553842577752,1.5352380293214997e-4,-0.013564059006179354,0.03481881968258019,0.04838287868875954
W02000031,2021,0.018304729030025776,1.4620386576863576e-4,-0.007390750101853277,0.04343877795612163,0.05082952805797491
W02000032,2021,0.011893344428867431,1.2569242695076367e-4,-0.009830800526867842,0.03387789934174869,0.04370869986861653
W02000033,2021,0.02226338590017154,1.19637528698199e-4,0.0037859987630672583,0.04533834040973052,0.04155234164666326
W02000034,2021,0.021550033089242176,1.0455838221347812e-4,6.969653266866005e-4,0.04172934766638116,0.041032382339694556
W02000035,2021,0.019612325643735485,1.0380180018832366e-4,0.0017031093472074945,0.03907412854386384,0.03737101919665635
