area_id,time_id,shallow_mrp_estimate,shallow_mrp_variance,shallow_mrp_lower,shallow_mrp_upper,shallow_mrp_ci_width
W02000001,2021,0.023906978994318914,5.9258423526858604e-5,0.012542575797976158,0.03987591691250512,0.02733334111452896
W02000002,2021,0.0194619618730835,3.758285652707489e-5,0.009663583475376705,0.03227732904169703,0.02261374556632032
W02000003,2021,0.039897928725440214,4.165159911417099e-4,0.016070368346943295,0.08801185150059751,0.07194148315365421
W02000004,2021,0.029817654950472304,1.210293038553707e-4,0.01387010939433558,0.06251690710750493,0.04864679771316935
W02000005,2021,0.01908532664452508,4.603939385332257e-5,0.008675197735575277,0.03497900648238508,0.026303808746809806
W02000006,2021,0.024334872732167404,7.134533212582293e-5,0.011422677470988706,0.04420158643310574,0.032778908962117034
W02000007,2021,0.02901793983919086,9.148384984312989e-5,0.014916266335772074,0.052210300566779465,0.03729403423100739
W02000008,2021,0.02002328141958598,6.716637362620162e-5,0.007896009419549831,0.04033467097339987,0.03243866155385004
W02000009,2021,0.02313129636341098,4.816363952717566e-5,0.011763035695478267,0.03885493535445517,0.0270918996589769
W02000010,2021,0.03458589938867554,2.531139092192155e-4,0.009471437320653354,0.07199242386943833,0.06252098654878498
W02000011,2021,0.025910905552116965,7.977492191967077e-5,0.011411073378931574,0.04677152111157769,0.035360447732646114
W02000012,2021,0.02350419100867764,5.4030907291178625e-5,0.012046599857580751,0.04003435586627198,0.027987756008691227
W02000013,2021,0.025542876823112733,8.489794001030044e-5,0.011551987954443937,0.04909128464464402,0.03753929669020008
W02000014,2021,0.025408597729045742,5.759658742921637e-5,0.013154857364821776,0.04031383387312061,0.027158976508298835
W02000015,2021,0.023327044317717826,8.586859024433015e-5,0.00939653483755616,0.04558579403280119,0.03618925919524503
W02000016,2021,0.022474680648846054,5.375662012349319e-5,0.010105506993435608,0.0400906225122552,0.029985115518819595
W02000017,2021,0.023476067018498057,5.230285582714326e-5,0.011763546285020273,0.03954561690347422,0.027782070618453947
