domain_id,benchmark_commute_distance,direct_estimate,direct_ci_lower,direct_ci_upper,direct_ci_width,fh_estimate,fh_ci_lower,fh_ci_upper,fh_ci_width,spatial_fh_estimate,spatial_fh_ci_lower,spatial_fh_ci_upper,spatial_fh_ci_width
W02000001,12.233856228057554,9.69955922390094,4.601025849044644,14.798092598757238,10.197066749712594,9.86511499898455,6.2396988698902005,13.148206209687489,6.908507339797288,9.694752064636907,6.26890609273402,13.643219671033213,7.374313578299193
W02000002,12.717002333962265,11.21454430158621,8.559041730421487,13.870046872750931,5.311005142329445,10.93217738943226,8.728862657822642,13.639577481281615,4.910714823458973,10.900986875349378,8.818637562105147,13.298694918820065,4.480057356714918
W02000003,9.949801455696202,10.648435017435164,5.259962641418723,16.036907393451607,10.776944752032884,9.721667771626212,5.620163256361395,13.551804378706311,7.931641122344916,10.196952203733836,5.62642137327749,15.28333501407715,9.656913640799658
W02000004,11.411980381374129,NA,NA,NA,NA,9.805661767760842,4.004206005909133,15.560893178541017,11.556687172631884,9.989298932070334,3.542530634851305,15.78604852099293,12.243517886141625
W02000005,10.20186677182646,25.326153818971456,5.644334840384751,45.00797279755816,39.36363795717341,10.45014501803643,4.399536645360623,15.841711319687906,11.442174674327283,10.814741352635812,5.552047939977372,16.912710046349414,11.360662106372041
W02000006,8.128392950420954,35.13199730396155,-9.912888712554173,80.17688332047726,90.08977203303144,9.853453118031386,4.349880216304072,15.284088698381389,10.934208482077317,9.651195244092214,4.405344308327679,14.447623788002678,10.042279479674999
W02000007,11.182409039645279,9.908801933204272,5.661433273871014,14.156170592537531,8.49473731866652,9.645077478733356,6.688216220825828,13.123963070504297,6.43574684967847,9.738840497008088,6.50144065615342,12.842163413259247,6.3407227571058264
W02000008,8.64557034608541,14.8734014897587,6.8338730382990995,22.9129299412183,16.079056902919202,10.709376213782324,6.205592109431888,14.928473768428669,8.72288165899678,10.934723020316255,5.500397699284958,15.949981664880875,10.449583965595917
W02000009,9.543121215860086,4.8121675428309,2.17701062212673,7.44732446353507,5.270313841408341,5.3830849772599985,3.006855186477967,7.707313333408697,4.70045814693073,5.798776775943004,3.4378710862093005,7.958088915990075,4.5202178297807745
W02000010,11.092810576251456,6.603529739166287,4.018011394533195,9.18904808379938,5.1710366892661845,6.975979854630309,4.557674803165174,9.200666302136694,4.64299149897152,6.637670146226462,4.196653988231752,9.211871711139283,5.015217722907531
W02000011,8.137024488976378,8.058897869215208,2.8131029270971775,13.30469281133324,10.491589884236062,8.311125726669065,4.259853699300162,12.628026624172989,8.368172924872827,8.418266170965326,4.765589036703629,11.82676413889308,7.061175102189452
W02000012,10.171267009022241,8.374074332236349,2.1390439094200104,14.609104755052687,12.470060845632675,8.773264066415035,5.053062681761961,12.916481858232453,7.863419176470492,8.51262803469293,4.868573140757855,12.448622529646782,7.580049388888927
W02000013,9.367973774160733,5.3002675790893665,1.7980314084585327,8.8025037497202,7.004472341261668,6.450272333961455,3.7044691099079348,9.545462592518847,5.840993482610912,6.327750979096782,3.5464463256257464,9.743799540026231,6.197353214400485
W02000014,9.24027012922211,26.923374612181593,10.129702797982056,43.71704642638113,33.587343628399076,10.953589079433828,5.456408146481244,16.268883292595813,10.812475146114569,9.920651485967278,4.826970313914073,14.158071916631986,9.331101602717913
W02000015,8.052978097960816,9.9196789906432965,2.5245945749047687,17.31476340638182,14.790168831477052,9.050869527929413,4.8780100319196205,13.336689083003991,8.45867905108437,8.377191802238434,3.2991362749322413,13.511749968056161,10.21261369312392
W02000016,9.571522592891762,41.4647784329225,-9.889198641377211,92.81875550722222,102.70795414859944,9.282495649388641,4.247935811479977,14.872283373335947,10.62434756185597,8.342997632924394,3.2426117348588903,13.339710025704631,10.097098290845741
W02000017,10.743092305924172,7.977358245950098,3.607300073255273,12.347416418644924,8.740116345389652,8.580368742657019,5.478834807771139,12.06323345502002,6.584398647248881,8.105913967089075,4.981780543934288,11.499706531513114,6.517925987578826
W02000018,10.810546485078994,13.18638933688711,5.4860989576500865,20.886679716124135,15.400580758474048,10.70601157373031,5.429907832123036,15.24037858057806,9.810470748455025,9.798609337401473,5.876309009561372,13.837958086412497,7.961649076851125
W02000019,9.494834567816092,5.433258835193519,2.252949201656674,8.613568468730364,6.36061926707369,6.32073920738662,3.6191495565823715,9.23368677448341,5.614537217901038,6.412193518433326,4.016061996123916,8.721755389315978,4.705693393192062
W02000020,11.19331815295481,4.617937751514997,0.743099112357489,8.492776390672505,7.749677278315016,6.257592382486968,3.2530734073912377,9.548002174066745,6.294928766675508,6.15369733549304,3.251912594006127,9.179676611947173,5.927764017941046
W02000021,10.104186138126774,8.59705973384213,3.6125766625616658,13.581542805122597,9.968966142560928,8.942156104975066,5.395001311227662,12.837009723337799,7.442008412110137,8.832760611266021,5.319781461103963,12.874277913407855,7.554496452303892
W02000022,10.869966849466463,7.558943632429728,1.0122577893749254,14.10562947548453,13.093371686109606,8.727115441374462,4.093850738936235,13.066405675937158,8.972554937000924,8.477261033245,4.000822111996525,12.361466721061651,8.360644609065126
W02000023,14.881647913480885,13.04109979759831,4.596929483365596,21.485270111831024,16.88834062846543,10.673997391230065,5.7937000386219815,15.441021722673268,9.647321684051287,10.329537021821302,4.204714733368595,15.875582929649656,11.670868196281061
W02000024,13.916643560863411,10.024273865116196,1.02296572824606,19.02558200198633,18.00261627374027,9.634120468061056,4.447480160636847,14.081884295037217,9.63440413440037,9.160559110158937,4.643977216614724,13.569604289067714,8.92562707245299
W02000025,11.320391165811417,6.692875189391497,3.2735015640146052,10.112248814768389,6.838747250753784,7.5103175237089195,4.40533572006917,10.62244780580584,6.2171120857366695,7.229137017697065,4.693534648443871,10.017429737110819,5.323895088666948
W02000026,12.966249474143503,11.20253242451146,6.902219852888404,15.502844996134511,8.60062514324611,10.559774324770567,7.279949305646229,14.304198280584425,7.024248974938195,10.190558865579035,6.785785539684289,13.559293594976014,6.773508055291725
W02000027,6.571576965616046,15.016521382029644,1.7214903919807814,28.311552372078506,26.59006198009772,9.544757372481628,4.027654509573395,15.376518731738289,11.348864222164893,9.973743141659755,3.1371021819070144,17.424632150767714,14.2875299688607
W02000028,7.089796765633965,29.178464910113735,8.386717715847105,49.970212104380366,41.58349438853326,10.23264873971179,5.261911660296729,16.119704244558196,10.857792584261468,10.993552195042211,6.072572709819424,16.33907397704614,10.266501267226717
W02000029,8.068460398831489,7.217629120247801,2.6551195030359933,11.780138737459607,9.125019234423617,8.124964643263688,4.177137643511385,11.768913929181945,7.59177628567056,8.539444720657555,4.9986710790914035,12.252866107708904,7.2541950286175005
W02000030,7.829738309701492,6.984499803220501,2.499744080361367,11.469255526079635,8.969511445718268,7.496043053616858,4.238304843611239,10.850060607814388,6.611755764203149,7.564195043644227,3.9730927614250486,10.85554397425415,6.8824512128291016
W02000031,8.30423576039783,24.38940641574401,10.64482780095122,38.1339850305368,27.48915722958558,11.821658471427872,6.389722810088658,17.65292913847592,11.26320632838726,12.175040064820664,6.950749836063898,17.05697368816265,10.10622385209875
W02000032,9.064114935961713,14.43511971670385,2.5429390597311894,26.32730037367651,23.78436131394532,9.96254496376206,3.8869166626892877,15.728068394511284,11.841151731821997,10.692059998189679,6.1350532601591485,15.890638743231708,9.75558548307256
W02000033,7.259427844019397,7.255688358219293,2.641516259821344,11.869860456617245,9.2283441967959,7.618427026034325,4.132361650317522,10.647648036745284,6.515286386427762,7.816447039172135,3.8632196160757637,11.60025365952268,7.737034043446917
W02000034,8.890724982589504,12.948011355602985,10.858798851652931,15.037223859553034,4.178425007900103,12.443240867518924,10.433214358055741,14.30891528048299,3.8757009224272494,12.219663494400802,10.137334987474986,14.052772281708044,3.915437294233058
W02000035,9.409146735367893,8.953871613655707,4.957243281736915,12.9504999455745,7.9932566638375855,9.173268608337406,5.80934708899116,12.13586892921439,6.326521840223229,9.21450632760852,5.969664700844579,12.55887124684863,6.589206546004052
W02000036,9.476017146302816,8.211853345662737,3.726655794583515,12.69705089674196,8.970395102158443,8.602861897014026,5.028498373523995,11.94676550715341,6.918267133629415,8.828636858656374,5.1766455809115035,12.108654368577454,6.932008787665951
W02000037,7.945232117395223,16.109853306928628,5.325433808881364,26.89427280497589,21.568838996094527,10.749603461310521,5.763689302729366,15.335780201224495,9.572090898495128,10.564004823694308,6.078873653729254,15.07987388966686,9.001000235937607
W02000038,10.217511180683312,8.79423809887986,4.193454166883634,13.395022030876088,9.201567863992452,9.071817473764323,5.6041453915949075,12.522831665131264,6.918686273536356,8.751600758184981,5.666363266244488,12.147803947516174,6.481440681271685
W02000039,10.191576779214065,13.613061623023963,0.35208121790617497,26.874042028141755,26.52196081023558,9.591224581060139,4.697762635148052,14.382971846275076,9.685209211127024,9.257902233973399,4.391078643739663,14.255472411283472,9.86439376754381
W02000040,12.073881327586205,12.076654962910844,-2.2061095811123543,26.35941950693404,28.565529088046397,10.028615678427865,4.469256524285756,15.631127495911741,11.161870971625985,9.823333167364657,6.207329958256506,14.080427329034965,7.873097370778459
W02000041,10.646747444519928,19.185861659709783,7.957544301006488,30.41417901841308,22.45663471740659,11.59688194809559,6.729426029767865,16.26126777949015,9.531841749722286,10.325089964902855,6.029676668296978,14.844168277669707,8.81449160937273
W02000042,8.980777313924051,14.069329715752758,4.659114371554686,23.47954505995083,18.820430688396144,10.578126226329339,5.52300093808729,15.70050240939299,10.1775014713057,10.582174328393712,5.059302789017135,15.454361248327235,10.3950584593101
