area_id,msoa_name,time_id,n,direct_estimate,variance,fh_estimate,fh_variance,fh_lower,fh_upper,fh_ci_width
W02000001,Isle of Anglesey 001,2021,6,0,0,0.018791450207584413,1.4601675497703876e-4,-0.00493100684166474,0.042459884827186836,0.047390891668851576
W02000002,Isle of Anglesey 002,2021,9,0.4319653664782163,0.04066522486314988,0.0895579533064785,8.220778368923204e-4,0.033271813585545096,0.1457699829481303,0.11249816936258519
W02000003,Isle of Anglesey 003,2021,11,0.1612312830188462,0.01159843217579599,0.11006105641318573,0.0011223489008844575,0.04440007170326968,0.1758984630892269,0.13149839138595723
W02000004,Isle of Anglesey 004,2021,14,0.13881811744044975,0.01557077848474238,0.09416310990995828,0.0018908489150861064,0.009111366104224902,0.1800224210367995,0.17091105493257458
W02000005,Isle of Anglesey 005,2021,17,0.2357800735403681,0.01570308073073289,0.11181573119752314,0.001247431727123445,0.042770918255663884,0.18141150410714973,0.13864058585148586
W02000006,Isle of Anglesey 006,2021,19,0.10088047765018358,0.00553827251265835,0.09519977598024289,9.634937403456069e-4,0.03436167281028711,0.15617269797486108,0.12181102516457397
W02000007,Isle of Anglesey 007,2021,13,0.07130340702194102,0.00493823604628872,0.08840265349993091,0.001022418938994888,0.025717199191167592,0.15121075318124677,0.12549355399007917
W02000008,Isle of Anglesey 008,2021,12,0.19842023274990855,0.01220788361272883,0.0803819443046785,9.438574495880493e-4,0.020064675353465462,0.14060801038961174,0.12054333503614628
W02000009,Isle of Anglesey 009,2021,13,0,0,0.11641064856617928,0.001615523255474597,0.038152089663821775,0.19607191169978902,0.15791982203596724
W02000010,Gwynedd 001,2021,12,0.09295304405275805,0.00810245734821603,0.17902628388359654,0.001860682502387724,0.09459335865873346,0.26382971059608346,0.16923635193734998
W02000011,Gwynedd 002,2021,18,0.12433733047748036,0.0053721902964639,0.061251190853489644,5.200198677918666e-4,0.016440018116471174,0.10588542815613064,0.08944541003965947
W02000012,Gwynedd 003,2021,13,0,0,0.0951218266970796,0.0016313767964659476,0.016420892662541486,0.17510963339478275,0.15868874073224126
W02000013,Gwynedd 004,2021,15,0.06754144696914653,0.00432395742111153,0.08963717173483199,0.001296061269337694,0.019189707873721318,0.1605235785329699,0.14133387065924857
W02000014,Gwynedd 005,2021,5,0,0,0.1272766121301839,0.0015943107868893157,0.050219304864301734,0.20703611787038861,0.15681681300608688
W02000015,Gwynedd 006,2021,15,0.07864534144766384,0.00572050590698416,0.09509018353991974,0.001569868640004352,0.01736505889501609,0.17298274211362558,0.15561768321860947
W02000016,Gwynedd 007,2021,4,0,0,0.10334012753265108,0.00175648331866346,0.021671210860307377,0.18638750843160112,0.16471629757129375
W02000017,Gwynedd 008,2021,7,0.29622405171495725,0.05123598044056675,0.10078682528078904,0.0015076539966870483,0.02502023958464912,0.17751951742842864,0.15249927784377953
W02000018,Gwynedd 009,2021,9,0.16517724306715606,0.02220608790766266,0.10998909004280322,0.001531165831145457,0.03395415968297033,0.18767603790283308,0.15372187821986275
W02000019,Gwynedd 010,2021,9,0.14870638382979637,0.01897832148608475,0.10923639026070198,0.0014860677889277695,0.03434874781767139,0.1857742528189908,0.1514255050013194
W02000020,Gwynedd 011,2021,10,0.09952226276588916,0.00931368695508842,0.09211676714357035,0.001124124081414839,0.026473042286355317,0.15806647992167833,0.131593437635323
W02000021,Gwynedd 012,2021,15,0.04884539924695608,0.00236761286709421,0.08776985947807284,0.0011358835372831102,0.021633253135331945,0.15391700815691362,0.13228375502158168
W02000022,Gwynedd 013,2021,15,0.0212344945063327,4.957953341325928e-4,0.04137662571607334,3.569121872430922e-4,0.004276556093284339,0.07837393856512959,0.07409738247184525
W02000023,Gwynedd 014,2021,13,0,0,0.09015371262972328,0.0025503045353324192,-0.0095898892942263,0.18924872353191016,0.19883861282613646
W02000024,Gwynedd 015,2021,6,0,0,0.10269284812697659,0.0018641276067282928,0.01856105966986217,0.18838548009792117,0.169824420428059
W02000025,Gwynedd 016,2021,12,0,0,0.1007874364927349,0.0015399578602032524,0.024113649236815263,0.1782824203832739,0.15416877114645866
W02000026,Gwynedd 017,2021,11,0,0,0.10322874181432497,0.001706749641499073,0.02270655978926142,0.18506618760294458,0.16235962781368315
W02000027,Conwy 001,2021,6,0,0,0.09321281691320668,0.001572841095887031,0.014944902308805741,0.17064849410982993,0.1557035918010242
W02000028,Conwy 002,2021,11,0.08536254482339001,0.00687076517368526,0.09623746682371753,0.0012901821216787478,0.025867985019859763,0.16686379575702284,0.14099581073716308
W02000029,Conwy 003,2021,13,0.04888062877624214,0.00236765824355765,0.06382121921784269,8.275057194015836e-4,0.00736191441921083,0.12022256625357199,0.11286065183436116
W02000030,Conwy 004,2021,9,0.29301465708004104,0.0284234309485235,0.06237088007199877,6.391298467916624e-4,0.012672841674389944,0.11183790416095961,0.09916506248656967
W02000031,Conwy 005,2021,10,0.16280358842584405,0.02119865250217118,0.1091735924676921,0.001851898551249075,0.02567505910951942,0.19476307309811752,0.1690880139885981
W02000032,Conwy 006,2021,9,0,0,0.08341574147955637,0.0017241530467541507,0.002047729975532056,0.1651749449323815,0.16312721495684945
W02000033,Conwy 007,2021,12,0,0,0.11967776623303648,0.0015838273968866758,0.041972485727036934,0.1982579380527738,0.15628545232573687
W02000034,Conwy 008,2021,9,0,0,0.09237043806094182,0.0018589704080800588,0.007931211793643242,0.17745190480935275,0.1695206930157095
W02000035,Conwy 009,2021,8,0.17850345132662307,0.0264125301482222,0.09511613973950539,0.001445905101896877,0.020789445021436537,0.17014201229560721,0.14935256727417068
W02000036,Conwy 010,2021,9,0,0,0.08200000561144756,0.0010423489206221935,0.018669568554612145,0.14538114097837282,0.1267115724237607
W02000037,Conwy 011,2021,9,0.18730064894195425,0.02642139122380393,0.08921621200306461,0.0015597764848410912,0.012122249831231835,0.1672931131091402,0.15517086327790836
W02000038,Conwy 012,2021,4,0,0,0.0931211513820483,0.001573491374574805,0.015558726918991017,0.17136840469563477,0.15580967777664376
W02000039,Conwy 013,2021,4,0,0,0.026416792643690963,2.465539033818106e-4,-0.004418081066592364,0.05716363214451524,0.0615817132111076
W02000040,Conwy 014,2021,9,0,0,0.09621322462137681,0.0018637352350010983,0.012095092863588827,0.18188973165271508,0.16979463878912626
W02000041,Conwy 015,2021,5,0,0,0.03907333135425322,4.302075908379831e-4,-0.0017082407299184726,0.07964595075661793,0.0813541914865364
W02000042,Denbighshire 001,2021,6,0.08310723454801548,0.00776025183408073,0.10398678550588074,0.0013306015952635837,0.03262857659133436,0.17582452394705622,0.14319594735572186
W02000043,Denbighshire 002,2021,6,0.09760301676463667,0.00939359001374457,0.09125076091026965,0.0017307283292982178,0.009645836978320929,0.17310445119231005,0.1634586142139891
W02000044,Denbighshire 003,2021,5,0,0,0.037969190342842296,4.24384861718674e-4,-0.0025054933469951454,0.07829209417260219,0.08079758751959734
W02000045,Denbighshire 004,2021,2,0.5055304661328172,0.1252931707786196,0.11931510622821911,0.0017866718762789714,0.03670243041178568,0.20274010037648355,0.16603766996469788
W02000047,Denbighshire 006,2021,7,0.7664673715912351,0.01979925801996805,0.05685602565631557,4.5284939939977233e-4,0.015040497945199849,0.09850487972249915,0.0834643817772993
W02000049,Denbighshire 008,2021,6,0.39874769738438265,0.04553724994701191,0.0931154276281367,0.00190866966355901,0.00802741889012612,0.17984631543255353,0.1718188965424274
W02000050,Denbighshire 009,2021,6,0.11995833006885533,0.01374006697519294,0.08311534723494708,0.0014820214012723496,0.007841288516687847,0.15904715876065514,0.1512058702439673
W02000051,Denbighshire 010,2021,10,0.2317161438545716,0.02065744504654773,0.09656540675890901,0.0018149021315055113,0.013537032635156418,0.1810348661916445,0.16749783355648806
