domain_id,direct_estimate,variance,direct_ci_lower,direct_ci_upper,direct_ci_width,n
W02000001,9.699559223900941,6.766722869253317,4.601025849044644,14.798092598757238,10.197066749712594,11
W02000002,11.21454430158621,1.835613782138289,8.559041730421487,13.870046872750933,5.311005142329445,11
W02000003,10.648435017435165,7.558213907510487,5.259962641418723,16.036907393451607,10.776944752032884,11
W02000004,NA,NA,NA,NA,NA,0
W02000005,25.326153818971456,100.83663012959596,5.644334840384751,45.00797279755816,39.36363795717341,12
W02000006,35.13199730396155,528.1762172638728,-9.912888712554171,80.17688332047726,90.08977203303144,17
W02000007,9.908801933204273,4.695996597325702,5.661433273871014,14.156170592537533,8.49473731866652,12
W02000008,14.8734014897587,16.82476512958882,6.8338730382990995,22.9129299412183,16.079056902919202,9
W02000009,4.8121675428309,1.8075937101038855,2.1770106221267294,7.44732446353507,5.270313841408341,8
W02000010,6.603529739166287,1.740135649321701,4.018011394533195,9.18904808379938,5.1710366892661845,17
W02000011,8.058897869215208,7.163256084639502,2.8131029270971775,13.30469281133324,10.491589884236062,11
W02000012,8.374074332236349,10.119638789422451,2.1390439094200104,14.609104755052687,12.470060845632677,8
W02000013,5.3002675790893665,3.1928514668041776,1.7980314084585327,8.8025037497202,7.004472341261668,9
W02000014,26.923374612181593,73.41404961553519,10.129702797982056,43.71704642638113,33.587343628399076,2
W02000015,9.919678990643295,14.235546000598402,2.5245945749047687,17.31476340638182,14.790168831477052,13
W02000016,41.4647784329225,686.4928574936747,-9.889198641377213,92.81875550722222,102.70795414859943,8
W02000017,7.977358245950098,4.971212107647034,3.6073000732552725,12.347416418644924,8.740116345389652,5
W02000018,13.18638933688711,15.434837548045158,5.4860989576500865,20.886679716124135,15.400580758474048,8
W02000019,5.433258835193519,2.632853333290104,2.252949201656674,8.613568468730364,6.36061926707369,10
W02000020,4.617937751514997,3.9083648686765957,0.743099112357489,8.492776390672505,7.7496772783150165,8
W02000021,8.59705973384213,6.46737595998582,3.6125766625616658,13.581542805122595,9.968966142560928,5
W02000022,7.558943632429728,11.156574221067832,1.0122577893749254,14.10562947548453,13.093371686109606,8
W02000023,13.04109979759831,18.561019443921552,4.596929483365596,21.485270111831024,16.88834062846543,8
W02000024,10.024273865116195,21.09109438121733,1.02296572824606,19.02558200198633,18.00261627374027,7
W02000025,6.692875189391497,3.0435537249903972,3.2735015640146052,10.112248814768389,6.838747250753784,10
W02000026,11.202532424511459,4.81379847294338,6.902219852888404,15.502844996134513,8.60062514324611,11
W02000027,15.016521382029643,46.01151838462089,1.7214903919807814,28.311552372078502,26.590061980097722,6
W02000028,29.178464910113735,112.53039134482879,8.386717715847105,49.970212104380366,41.58349438853326,4
W02000029,7.217629120247801,5.4187041876172,2.6551195030359933,11.780138737459609,9.125019234423615,8
W02000030,6.984499803220501,5.235587748260556,2.499744080361367,11.469255526079635,8.969511445718268,10
W02000031,24.38940641574401,49.1757187885827,10.64482780095122,38.1339850305368,27.48915722958558,8
W02000032,14.43511971670385,36.8138173620561,2.5429390597311894,26.32730037367651,23.784361313945322,6
W02000033,7.2556883582192935,5.542113742616133,2.641516259821344,11.869860456617243,9.228344196795899,6
W02000034,12.948011355602983,1.1361955660821645,10.858798851652931,15.037223859553034,4.178425007900103,4
W02000035,8.953871613655707,4.157912854929195,4.957243281736915,12.9504999455745,7.9932566638375855,8
W02000036,8.211853345662737,5.2366193961388605,3.7266557945835155,12.69705089674196,8.970395102158443,11
W02000037,16.109853306928628,30.274808389697515,5.325433808881364,26.89427280497589,21.568838996094527,13
W02000038,8.79423809887986,5.50999916412814,4.193454166883634,13.395022030876088,9.201567863992453,6
W02000039,13.613061623023965,45.77613528345428,0.35208121790617497,26.874042028141755,26.52196081023558,4
W02000040,12.076654962910844,53.10218737505368,-2.2061095811123543,26.359419506934042,28.565529088046397,5
W02000041,19.185861659709783,32.81838575274827,7.957544301006488,30.41417901841308,22.45663471740659,8
W02000042,14.069329715752758,23.050851942987517,4.659114371554686,23.47954505995083,18.820430688396144,9
W02000043,4.209131366908058,0.10076346531223189,3.5869634407470654,4.83129929306905,1.2443358523219847,4
W02000044,22.87618511448816,54.67927714108824,8.382879381660862,37.369490847315454,28.986611465654594,5
W02000045,9.721000886158324,7.256770049139351,4.441075903663427,15.00092586865322,10.559849964989793,4
W02000047,1,0,1,1,0,2
W02000049,6.084269196346947,10.144978077644806,-0.15856251555113143,12.327100908245026,12.485663423796156,6
W02000050,5.869230698637214,2.009080428042353,3.0910868268466434,8.647374570427784,5.556287743581141,8
